natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,Time_Index
1.0,1.0,1.0,0.0,0.7225,0.4483,0.4483,1.0,157
1.0,1.0,1.0,0.0,0.7061,0.3077,0.3077,1.0,158
1.0,1.0,1.0,0.0,0.6691,0.2329,0.2329,1.0,159
1.0,1.0,1.0,0.01243,0.6381,0.2068,0.2068,1.0,160
1.0,1.0,1.0,0.099358,0.5176,0.1621,0.1621,1.0,161
1.0,1.0,1.0,0.201954,0.3668,0.1358,0.1358,1.0,162
1.0,1.0,1.0,0.29447,0.2827,0.2798,0.2798,1.0,163
1.0,1.0,1.0,0.0,0.2398,0.356,0.356,1.0,164
1.0,1.0,1.0,0.0,0.3026,0.4719,0.4719,1.0,165
1.0,1.0,1.0,0.077018,0.8488,0.9142,0.9142,1.0,166
1.0,1.0,1.0,0.103155,0.7898,0.5553,0.5553,1.0,167
1.0,1.0,1.0,0.205142,0.7297,0.4162,0.4162,1.0,168
1.0,1.0,1.0,0.271488,0.6198,0.2911,0.2911,1.0,169
1.0,1.0,1.0,0.256886,0.5469,0.2088,0.2088,1.0,170
1.0,1.0,1.0,0.333682,0.355,0.1347,0.1347,1.0,171
1.0,1.0,1.0,0.319994,0.2329,0.0866,0.0866,1.0,172
1.0,1.0,1.0,0.296841,0.1211,0.1222,0.1222,1.0,173
1.0,1.0,1.0,0.13389,0.1148,0.1745,0.1745,1.0,174
1.0,1.0,1.0,0.026019,0.1458,0.2614,0.2614,1.0,175
1.0,1.0,1.0,0.017617,0.8393,0.915,0.915,1.0,176
1.0,1.0,1.0,0.185979,0.8375,0.8207,0.8207,1.0,177
1.0,1.0,1.0,0.360013,0.8417,0.8071,0.8071,1.0,178
1.0,1.0,1.0,0.59397,0.8402,0.7596,0.7596,1.0,179
1.0,1.0,1.0,0.326992,0.7673,0.6536,0.6536,1.0,180
1.0,1.0,1.0,0.125481,0.68,0.7101,0.7101,1.0,181
1.0,1.0,1.0,0.089602,0.6645,0.8449,0.8449,1.0,182
1.0,1.0,1.0,0.240604,0.6548,0.7937,0.7937,1.0,183
1.0,1.0,1.0,0.348015,0.515,0.8058,0.8058,1.0,184
1.0,1.0,1.0,0.53965,0.5319,0.7528,0.7528,1.0,185
1.0,1.0,1.0,0.31514,0.5496,0.6959,0.6959,1.0,186
1.0,1.0,1.0,0.121544,0.639,0.7271,0.7271,1.0,187
1.0,1.0,1.0,0.0,0.6411,0.5001,0.5001,1.0,188
1.0,1.0,1.0,0.0,0.5953,0.4426,0.4426,1.0,189
1.0,1.0,1.0,0.0,0.6511,0.3714,0.3714,1.0,190
1.0,1.0,1.0,0.0,0.6184,0.2951,0.2951,1.0,191
1.0,1.0,1.0,0.0,0.2291,0.2085,0.2085,1.0,192
1.0,1.0,1.0,0.0,0.0997,0.2974,0.2974,1.0,193
1.0,1.0,1.0,0.0,0.1136,0.4254,0.4254,1.0,194
1.0,1.0,1.0,0.321117,0.1729,0.6946,0.6946,1.0,195
1.0,1.0,1.0,0.0,0.2258,0.6941,0.6941,1.0,196
1.0,1.0,1.0,0.0,0.1757,0.7345,0.7345,1.0,197
1.0,1.0,1.0,0.093049,0.2939,0.8629,0.8629,1.0,198
1.0,1.0,1.0,0.286998,0.2326,0.8464,0.8464,1.0,199
1.0,1.0,1.0,0.118955,0.3883,0.8001,0.8001,1.0,200
