Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,omega,Rel_TimeStep
,,,,,,,588,16288.827,5.0,1
,,,,,,,589,16399.044,5.0,1
,,,,,,,590,16372.845,5.0,1
,,,,,,,591,15847.608,5.0,1
,,,,,,,592,15876.136,5.0,1
,,,,,,,593,16512.923,5.0,1
,,,,,,,594,18074.179,5.0,1
,,,,,,,595,18357.524,5.0,1
,,,,,,,596,18024.954,5.0,1
,,,,,,,597,17102.617,5.0,1
,,,,,,,598,15907.053,5.0,1
,,,,,,,599,14526.472,5.0,1
,,,,,,,600,13240.618,5.0,1
,,,,,,,601,12508.066,5.0,1
,,,,,,,602,12115.795,5.0,1
,,,,,,,603,11804.635,5.0,1
,,,,,,,604,11580.015,5.0,1
,,,,,,,605,11356.538,5.0,1
,,,,,,,606,12882.607,5.0,1
,,,,,,,607,14907.956,5.0,1
,,,,,,,608,16044.1,5.0,1
,,,,,,,609,16213.872,5.0,1
,,,,,,,610,16006.497,5.0,1
,,,,,,,611,14879.074,5.0,1
,,,,,,,612,15468.99,5.0,1
,,,,,,,613,15766.671,5.0,1
,,,,,,,614,15489.618,5.0,1
,,,,,,,615,14958.365,5.0,1
,,,,,,,616,15354.43,5.0,1
,,,,,,,617,15616.355,5.0,1
,,,,,,,618,16897.902,5.0,1
,,,,,,,619,17081.252,5.0,1
,,,,,,,620,17122.04,5.0,1
,,,,,,,621,16856.691,5.0,1
,,,,,,,622,15006.575,5.0,1
,,,,,,,623,13950.111,5.0,1
,,,,,,,624,12560.892,5.0,1
,,,,,,,625,11726.111,5.0,1
,,,,,,,626,11206.6,5.0,1
,,,,,,,627,11026.555,5.0,1
,,,,,,,628,11017.396,5.0,1
,,,,,,,629,11111.334,5.0,1
,,,,,,,630,11572.315,5.0,1
,,,,,,,631,13653.078,5.0,1
,,,,,,,632,15728.532,5.0,1
,,,,,,,633,15953.546,5.0,1
,,,,,,,634,16504.223,5.0,1
,,,,,,,635,16032.773,5.0,1
,,,,,,,636,15424.438,5.0,1
,,,,,,,637,15446.403,5.0,1
,,,,,,,638,15927.79,5.0,1
,,,,,,,639,15750.032,5.0,1
,,,,,,,640,14619.402,5.0,1
,,,,,,,641,15529.109,5.0,1
,,,,,,,642,16870.294,5.0,1
,,,,,,,643,16650.695,5.0,1
,,,,,,,644,16615.66,5.0,1
,,,,,,,645,15930.915,5.0,1
,,,,,,,646,15190.736,5.0,1
,,,,,,,647,13747.228,5.0,1
,,,,,,,648,12565.086,5.0,1
,,,,,,,649,11794.113,5.0,1
,,,,,,,650,11406.297,5.0,1
,,,,,,,651,11260.732,5.0,1
,,,,,,,652,11094.212,5.0,1
,,,,,,,653,11601.432,5.0,1
,,,,,,,654,11280.263,5.0,1
,,,,,,,655,12087.707,5.0,1
,,,,,,,656,12702.75,5.0,1
,,,,,,,657,13720.774,5.0,1
,,,,,,,658,15083.681,5.0,1
,,,,,,,659,15808.424,5.0,1
,,,,,,,660,15459.87,5.0,1
,,,,,,,661,15298.9,5.0,1
,,,,,,,662,15040.681,5.0,1
,,,,,,,663,15727.655,5.0,1
,,,,,,,664,14932.175,5.0,1
,,,,,,,665,15787.509,5.0,1
,,,,,,,666,17862.921,5.0,1
,,,,,,,667,18047.004,5.0,1
,,,,,,,668,17653.001,5.0,1
,,,,,,,669,16957.331,5.0,1
,,,,,,,670,15831.978,5.0,1
,,,,,,,671,14219.213,5.0,1
,,,,,,,672,12941.291,5.0,1
,,,,,,,673,11962.563,5.0,1
