Time_Index,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
131,1.0,1.0,1.0,0.5055,0.985960245,0.5261,0.950878024,1.0,1.0,1.0
132,1.0,1.0,1.0,0.6058,0.993910849,0.6015,0.955344141,1.0,1.0,1.0
133,1.0,1.0,1.0,0.6621,0.985459149,0.6392,0.987513661,1.0,1.0,1.0
134,1.0,1.0,1.0,0.6563,0.984604716,0.6448,0.975212336,1.0,1.0,1.0
135,1.0,1.0,1.0,0.5704,0.991283655,0.5771,0.957569599,1.0,1.0,1.0
136,1.0,1.0,1.0,0.4009,0.977170289,0.422,0.991573811,1.0,1.0,1.0
137,1.0,1.0,1.0,0.1757,0.987855911,0.2093,0.948312104,1.0,1.0,1.0
138,1.0,1.0,1.0,0.0,0.838460803,0.0,0.950389743,1.0,1.0,1.0
139,1.0,1.0,1.0,0.0,0.869346082,0.0,0.958247781,1.0,1.0,1.0
140,1.0,1.0,1.0,0.0,0.794923484,0.0,0.927831471,1.0,1.0,1.0
141,1.0,1.0,1.0,0.0,0.913891792,0.0,0.979082227,1.0,1.0,1.0
142,1.0,1.0,1.0,0.0,0.940207124,0.0,0.989470422,1.0,1.0,1.0
143,1.0,1.0,1.0,0.0,0.90137291,0.0,0.985802889,1.0,1.0,1.0
144,1.0,1.0,1.0,0.0,0.939054847,0.0,0.985857069,1.0,1.0,1.0
145,1.0,1.0,1.0,0.0,0.627161443,0.0,0.929395556,1.0,1.0,1.0
146,1.0,1.0,1.0,0.0,0.217612281,0.0,0.900235772,1.0,1.0,1.0
147,1.0,1.0,1.0,0.0,0.116163731,0.0,0.866942644,1.0,1.0,1.0
148,1.0,1.0,1.0,0.0,0.272952229,0.0,0.741459072,1.0,1.0,1.0
149,1.0,1.0,1.0,0.0,0.277390778,0.0,0.600258589,1.0,1.0,1.0
150,1.0,1.0,1.0,0.0,0.26416716,0.0,0.417367399,1.0,1.0,1.0
151,1.0,1.0,1.0,0.0,0.073716134,0.0,0.207226366,1.0,1.0,1.0
152,1.0,1.0,1.0,0.0,0.038241033,0.0,0.15075615,1.0,1.0,1.0
153,1.0,1.0,1.0,0.2198,0.097082593,0.2185,0.118688792,1.0,1.0,1.0
154,1.0,1.0,1.0,0.4112,0.001447127,0.3732,0.004833708,1.0,1.0,1.0
155,1.0,1.0,1.0,0.5551,5.9e-5,0.5366,0.013554232,1.0,1.0,1.0
156,1.0,1.0,1.0,0.6202,0.00026092,0.6392,0.037889838,1.0,1.0,1.0
157,1.0,1.0,1.0,0.6322,0.005408939,0.6719,0.026628215,1.0,1.0,1.0
158,1.0,1.0,1.0,0.6454,0.025882183,0.6925,0.054959729,1.0,1.0,1.0
159,1.0,1.0,1.0,0.582,0.125935793,0.5905,0.044316772,1.0,1.0,1.0
160,1.0,1.0,1.0,0.4182,0.18762584,0.3985,0.085174516,1.0,1.0,1.0
161,1.0,1.0,1.0,0.1694,0.175286353,0.1216,0.294740826,1.0,1.0,1.0
162,1.0,1.0,1.0,0.0,0.130735457,0.0,0.302422374,1.0,1.0,1.0
163,1.0,1.0,1.0,0.0,0.059012618,0.0,0.263340175,1.0,1.0,1.0
164,1.0,1.0,1.0,0.0,0.076137081,0.0,0.379125297,1.0,1.0,1.0
165,1.0,1.0,1.0,0.0,0.417927891,0.0,0.68642652,1.0,1.0,1.0
166,1.0,1.0,1.0,0.0,0.335010946,0.0,0.734469175,1.0,1.0,1.0
167,1.0,1.0,1.0,0.0,0.261711657,0.0,0.73539865,1.0,1.0,1.0
168,1.0,1.0,1.0,0.0,0.185985401,0.0,0.691299915,1.0,1.0,1.0
169,1.0,1.0,1.0,0.0,0.215645924,0.0,0.583048582,1.0,1.0,1.0
170,1.0,1.0,1.0,0.0,0.305431753,0.0,0.587040126,1.0,1.0,1.0
171,1.0,1.0,1.0,0.0,0.296855569,0.0,0.542858481,1.0,1.0,1.0
172,1.0,1.0,1.0,0.0,0.429687113,0.0,0.510614693,1.0,1.0,1.0
173,1.0,1.0,1.0,0.0,0.552138925,0.0,0.45660311,1.0,1.0,1.0
174,1.0,1.0,1.0,0.0,0.611982286,0.0,0.427841127,1.0,1.0,1.0
175,1.0,1.0,1.0,0.0,0.952477038,0.0,0.436822176,1.0,1.0,1.0
176,1.0,1.0,1.0,0.0,0.94997865,0.0,0.484590083,1.0,1.0,1.0
177,1.0,1.0,1.0,0.2238,0.960820317,0.2158,0.577081442,1.0,1.0,1.0
178,1.0,1.0,1.0,0.4608,0.916780055,0.458,0.570028424,1.0,1.0,1.0
179,1.0,1.0,1.0,0.6129,0.995527506,0.6197,0.751542807,1.0,1.0,1.0
180,1.0,1.0,1.0,0.681,1.0,0.7022,0.85591507,1.0,1.0,1.0
181,1.0,1.0,1.0,0.7075,0.706549644,0.7162,0.619331539,1.0,1.0,1.0
182,1.0,1.0,1.0,0.6971,0.844171405,0.7045,0.672639489,1.0,1.0,1.0
183,1.0,1.0,1.0,0.6128,0.786879778,0.626,0.987169445,1.0,1.0,1.0
184,1.0,1.0,1.0,0.4488,0.720500171,0.4726,0.989231169,1.0,1.0,1.0
185,1.0,1.0,1.0,0.217,0.447472394,0.2484,0.974840343,1.0,1.0,1.0
186,1.0,1.0,1.0,0.0,0.345706671,0.0,0.87803185,1.0,1.0,1.0
187,1.0,1.0,1.0,0.0,0.369809151,0.0,0.903371572,1.0,1.0,1.0
188,1.0,1.0,1.0,0.0,0.554297388,0.0,0.937535048,1.0,1.0,1.0
189,1.0,1.0,1.0,0.0,0.792255223,0.0,0.923223376,1.0,1.0,1.0
190,1.0,1.0,1.0,0.0,0.62724638,0.0,0.899793744,1.0,1.0,1.0
191,1.0,1.0,1.0,0.0,0.336070687,0.0,0.880906224,1.0,1.0,1.0
192,1.0,1.0,1.0,0.0,0.155117512,0.0,0.858990669,1.0,1.0,1.0
193,1.0,1.0,1.0,0.0,0.674788058,0.0,0.832141697,1.0,1.0,1.0
194,1.0,1.0,1.0,0.0,0.91023761,0.0,0.825002253,1.0,1.0,1.0
195,1.0,1.0,1.0,0.0,0.839853764,0.0,0.878274798,1.0,1.0,1.0
196,1.0,1.0,1.0,0.0,0.8865906,0.0,0.925702214,1.0,1.0,1.0
197,1.0,1.0,1.0,0.0,0.94504863,0.0,0.900026917,1.0,1.0,1.0
198,1.0,1.0,1.0,0.0,0.863669157,0.0,0.867172003,1.0,1.0,1.0
199,1.0,1.0,1.0,0.0,0.646323919,0.0,0.851862907,1.0,1.0,1.0
200,1.0,1.0,1.0,0.0,0.25566262,0.0,0.962050557,1.0,1.0,1.0
201,1.0,1.0,1.0,0.109,0.324984014,0.1325,0.968221545,1.0,1.0,1.0
202,1.0,1.0,1.0,0.3235,0.710196197,0.3044,0.936753988,1.0,1.0,1.0
203,1.0,1.0,1.0,0.3563,0.438852191,0.3022,0.894410849,1.0,1.0,1.0
204,1.0,1.0,1.0,0.3784,0.312287986,0.4041,0.729316831,1.0,1.0,1.0
205,1.0,1.0,1.0,0.3346,0.569212019,0.2614,0.705880165,1.0,1.0,1.0
206,1.0,1.0,1.0,0.2609,0.766024351,0.2753,0.748093069,1.0,1.0,1.0
207,1.0,1.0,1.0,0.2381,0.711729348,0.1934,0.817127466,1.0,1.0,1.0
208,1.0,1.0,1.0,0.1307,0.659122467,0.2166,0.8403548,1.0,1.0,1.0
209,1.0,1.0,1.0,0.0266,0.482714176,0.0182,0.906592369,1.0,1.0,1.0
210,1.0,1.0,1.0,0.0,0.74608326,0.0,0.94518286,1.0,1.0,1.0
211,1.0,1.0,1.0,0.0,0.817704558,0.0,0.897846878,1.0,1.0,1.0
212,1.0,1.0,1.0,0.0,0.881676972,0.0,0.937956572,1.0,1.0,1.0
213,1.0,1.0,1.0,0.0,0.923290074,0.0,0.908633113,1.0,1.0,1.0
214,1.0,1.0,1.0,0.0,0.881124794,0.0,0.971499681,1.0,1.0,1.0
215,1.0,1.0,1.0,0.0,0.837216139,0.0,0.997881591,1.0,1.0,1.0
216,1.0,1.0,1.0,0.0,0.935307026,0.0,0.981252551,1.0,1.0,1.0
217,1.0,1.0,1.0,0.0,0.95678848,0.0,0.874063134,1.0,1.0,1.0
218,1.0,1.0,1.0,0.0,0.960784912,0.0,0.785421908,1.0,1.0,1.0
219,1.0,1.0,1.0,0.0,0.964077592,0.0,0.838933825,1.0,1.0,1.0
220,1.0,1.0,1.0,0.0,0.821918488,0.0,0.836373806,1.0,1.0,1.0
221,1.0,1.0,1.0,0.0,0.535242558,0.0,0.798461854,1.0,1.0,1.0
222,1.0,1.0,1.0,0.0,0.421804518,0.0,0.835002184,1.0,1.0,1.0
223,1.0,1.0,1.0,0.0,0.44402492,0.0,0.936725378,1.0,1.0,1.0
224,1.0,1.0,1.0,0.0,0.506769657,0.0,0.92959249,1.0,1.0,1.0
225,1.0,1.0,1.0,0.1008,0.716469467,0.1563,0.786107421,1.0,1.0,1.0
226,1.0,1.0,1.0,0.3571,0.479748398,0.4284,0.73866868,1.0,1.0,1.0
227,1.0,1.0,1.0,0.5425,0.77202934,0.5777,0.717252851,1.0,1.0,1.0
228,1.0,1.0,1.0,0.6327,0.629349351,0.6501,0.634071887,1.0,1.0,1.0
229,1.0,1.0,1.0,0.6563,0.735723257,0.6632,0.717576087,1.0,1.0,1.0
230,1.0,1.0,1.0,0.6462,0.502739787,0.6461,0.680005491,1.0,1.0,1.0
231,1.0,1.0,1.0,0.5642,0.707346141,0.5617,0.761096835,1.0,1.0,1.0
232,1.0,1.0,1.0,0.3954,0.32747677,0.3732,0.737764895,1.0,1.0,1.0
233,1.0,1.0,1.0,0.1551,0.927522063,0.1768,0.7636289,1.0,1.0,1.0
234,1.0,1.0,1.0,0.0,0.636502683,0.0,0.771935344,1.0,1.0,1.0
235,1.0,1.0,1.0,0.0,0.664787829,0.0,0.867450655,1.0,1.0,1.0
236,1.0,1.0,1.0,0.0,0.515376031,0.0,0.923220873,1.0,1.0,1.0
237,1.0,1.0,1.0,0.0,0.439054638,0.0,0.93512392,1.0,1.0,1.0
238,1.0,1.0,1.0,0.0,0.750679374,0.0,0.801682234,1.0,1.0,1.0
239,1.0,1.0,1.0,0.0,0.814183295,0.0,0.73993969,1.0,1.0,1.0
240,1.0,1.0,1.0,0.0,0.872650862,0.0,0.863863051,1.0,1.0,1.0
241,1.0,1.0,1.0,0.0,0.561287105,0.0,0.588814914,1.0,1.0,1.0
242,1.0,1.0,1.0,0.0,0.672913551,0.0,0.470196784,1.0,1.0,1.0
243,1.0,1.0,1.0,0.0,0.723361433,0.0,0.421834409,1.0,1.0,1.0
244,1.0,1.0,1.0,0.0,0.805291235,0.0,0.471072197,1.0,1.0,1.0
245,1.0,1.0,1.0,0.0,0.904340565,0.0,0.613616168,1.0,1.0,1.0
246,1.0,1.0,1.0,0.0,0.792528152,0.0,0.624691665,1.0,1.0,1.0
247,1.0,1.0,1.0,0.0,0.847133756,0.0,0.765381157,1.0,1.0,1.0
248,1.0,1.0,1.0,0.0,0.753656209,0.0,0.704199433,1.0,1.0,1.0
249,1.0,1.0,1.0,0.2573,0.501209259,0.2491,0.841629386,1.0,1.0,1.0
250,1.0,1.0,1.0,0.4428,0.336688846,0.4212,0.587659121,1.0,1.0,1.0
251,1.0,1.0,1.0,0.5817,0.814650357,0.565,0.655141115,1.0,1.0,1.0
252,1.0,1.0,1.0,0.5987,0.89824605,0.6201,0.667619109,1.0,1.0,1.0
253,1.0,1.0,1.0,0.6564,0.871938109,0.6135,0.712615848,1.0,1.0,1.0
254,1.0,1.0,1.0,0.6124,0.823495448,0.5587,0.651948869,1.0,1.0,1.0
255,1.0,1.0,1.0,0.5068,0.866992474,0.5271,0.679734111,1.0,1.0,1.0
256,1.0,1.0,1.0,0.4084,0.866138339,0.3826,0.659323394,1.0,1.0,1.0
