Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS
,,,,,,,271.0,14177.838,20.0,0.0,1.0
,,,,,,,272.0,14927.061,20.0,0.0,1.0
,,,,,,,273.0,15732.462,20.0,0.0,1.0
,,,,,,,274.0,16207.352,20.0,0.0,1.0
,,,,,,,275.0,16293.229,20.0,0.0,1.0
,,,,,,,276.0,16226.555,20.0,0.0,1.0
,,,,,,,277.0,15943.435,20.0,0.0,1.0
,,,,,,,278.0,15585.438,20.0,0.0,1.0
,,,,,,,279.0,15401.941,20.0,0.0,1.0
,,,,,,,280.0,15505.042,20.0,0.0,1.0
,,,,,,,281.0,16216.036,20.0,0.0,1.0
,,,,,,,282.0,17026.508,20.0,0.0,1.0
,,,,,,,283.0,16875.207,20.0,0.0,1.0
,,,,,,,284.0,16459.707,20.0,0.0,1.0
,,,,,,,285.0,15992.234,20.0,0.0,1.0
,,,,,,,286.0,15369.425,20.0,0.0,1.0
,,,,,,,287.0,14561.681,20.0,0.0,1.0
,,,,,,,288.0,13712.602,20.0,0.0,1.0
,,,,,,,289.0,13056.205,20.0,0.0,1.0
,,,,,,,290.0,12640.687,20.0,0.0,1.0
,,,,,,,291.0,12444.134,20.0,0.0,1.0
,,,,,,,292.0,12375.9,20.0,0.0,1.0
,,,,,,,293.0,12474.215,20.0,0.0,1.0
,,,,,,,294.0,12766.627,20.0,0.0,1.0
,,,,,,,295.0,13352.265,20.0,0.0,1.0
,,,,,,,296.0,14049.487,20.0,0.0,1.0
,,,,,,,297.0,14881.893,20.0,0.0,1.0
,,,,,,,298.0,15421.207,20.0,0.0,1.0
,,,,,,,299.0,15650.353,20.0,0.0,1.0
,,,,,,,300.0,15736.673,20.0,0.0,1.0
,,,,,,,301.0,15697.657,20.0,0.0,1.0
,,,,,,,302.0,15381.123,20.0,0.0,1.0
,,,,,,,303.0,15188.828,20.0,0.0,1.0
,,,,,,,304.0,15327.213,20.0,0.0,1.0
,,,,,,,305.0,16010.442,20.0,0.0,1.0
,,,,,,,306.0,17192.712,20.0,0.0,1.0
,,,,,,,307.0,17117.387,20.0,0.0,1.0
,,,,,,,308.0,16694.9,20.0,0.0,1.0
,,,,,,,309.0,16145.558,20.0,0.0,1.0
,,,,,,,310.0,15203.833,20.0,0.0,1.0
,,,,,,,311.0,14104.202,20.0,0.0,1.0
,,,,,,,312.0,13213.603,20.0,0.0,1.0
,,,,,,,313.0,12643.88,20.0,0.0,1.0
,,,,,,,314.0,12385.341,20.0,0.0,1.0
,,,,,,,315.0,12293.279,20.0,0.0,1.0
,,,,,,,316.0,12366.943,20.0,0.0,1.0
,,,,,,,317.0,12777.17,20.0,0.0,1.0
,,,,,,,318.0,13858.47,20.0,0.0,1.0
,,,,,,,319.0,15665.84,20.0,0.0,1.0
,,,,,,,320.0,16696.57,20.0,0.0,1.0
,,,,,,,321.0,16910.244,20.0,0.0,1.0
,,,,,,,322.0,16948.329,20.0,0.0,1.0
,,,,,,,323.0,16889.4,20.0,0.0,1.0
,,,,,,,324.0,16707.829,20.0,0.0,1.0
,,,,,,,325.0,16452.064,20.0,0.0,1.0
,,,,,,,326.0,16241.869,20.0,0.0,1.0
,,,,,,,327.0,15996.369,20.0,0.0,1.0
,,,,,,,328.0,16021.72,20.0,0.0,1.0
,,,,,,,329.0,16658.229,20.0,0.0,1.0
,,,,,,,330.0,17712.563,20.0,0.0,1.0
,,,,,,,331.0,17695.257,20.0,0.0,1.0
,,,,,,,332.0,17357.13,20.0,0.0,1.0
,,,,,,,333.0,16716.311,20.0,0.0,1.0
,,,,,,,334.0,15700.813,20.0,0.0,1.0
,,,,,,,335.0,14493.328,20.0,0.0,1.0
,,,,,,,336.0,13472.898,20.0,0.0,1.0
,,,,,,,337.0,12858.276,20.0,0.0,1.0
,,,,,,,338.0,12546.896,20.0,0.0,1.0
,,,,,,,339.0,12444.528,20.0,0.0,1.0
,,,,,,,340.0,12521.233,20.0,0.0,1.0
,,,,,,,341.0,12933.304,20.0,0.0,1.0
,,,,,,,342.0,14005.385,20.0,0.0,1.0
,,,,,,,343.0,15798.247,20.0,0.0,1.0
,,,,,,,344.0,16680.582,20.0,0.0,1.0
,,,,,,,345.0,16666.156,20.0,0.0,1.0
,,,,,,,346.0,16523.29,20.0,0.0,1.0
,,,,,,,347.0,16383.632,20.0,0.0,1.0
,,,,,,,348.0,16208.442,20.0,0.0,1.0
,,,,,,,349.0,15978.036,20.0,0.0,1.0
,,,,,,,350.0,15783.652,20.0,0.0,1.0
,,,,,,,351.0,15622.874,20.0,0.0,1.0
,,,,,,,352.0,15710.33,20.0,0.0,1.0
,,,,,,,353.0,16343.884,20.0,0.0,1.0
,,,,,,,354.0,17382.299,20.0,0.0,1.0
,,,,,,,355.0,17356.482,20.0,0.0,1.0
,,,,,,,356.0,16955.749,20.0,0.0,1.0
,,,,,,,357.0,16313.154,20.0,0.0,1.0
,,,,,,,358.0,15352.569,20.0,0.0,1.0
,,,,,,,359.0,14114.719,20.0,0.0,1.0
,,,,,,,360.0,13107.088,20.0,0.0,1.0
,,,,,,,361.0,12491.62,20.0,0.0,1.0
,,,,,,,362.0,12157.165,20.0,0.0,1.0
,,,,,,,363.0,12033.177,20.0,0.0,1.0
,,,,,,,364.0,12092.515,20.0,0.0,1.0
,,,,,,,365.0,12487.637,20.0,0.0,1.0
,,,,,,,366.0,13520.42,20.0,0.0,1.0
,,,,,,,367.0,15260.373,20.0,0.0,1.0
,,,,,,,368.0,16162.943,20.0,0.0,1.0
,,,,,,,369.0,16244.26,20.0,0.0,1.0
,,,,,,,370.0,16186.476,20.0,0.0,1.0
,,,,,,,371.0,16194.744,20.0,0.0,1.0
,,,,,,,372.0,16102.528,20.0,0.0,1.0
,,,,,,,373.0,15876.198,20.0,0.0,1.0
,,,,,,,374.0,15782.652,20.0,0.0,1.0
,,,,,,,375.0,15630.702,20.0,0.0,1.0
,,,,,,,376.0,15651.168,20.0,0.0,1.0
,,,,,,,377.0,16231.088,20.0,0.0,1.0
,,,,,,,378.0,17154.199,20.0,0.0,1.0
,,,,,,,379.0,17070.505,20.0,0.0,1.0
,,,,,,,380.0,16640.831,20.0,0.0,1.0
,,,,,,,381.0,16008.482,20.0,0.0,1.0
,,,,,,,382.0,15073.574,20.0,0.0,1.0
,,,,,,,383.0,13910.713,20.0,0.0,1.0
,,,,,,,384.0,12915.12,20.0,0.0,1.0
,,,,,,,385.0,12348.108,20.0,0.0,1.0
,,,,,,,386.0,12086.883,20.0,0.0,1.0
,,,,,,,387.0,12042.671,20.0,0.0,1.0
,,,,,,,388.0,12143.58,20.0,0.0,1.0
,,,,,,,389.0,12634.985,20.0,0.0,1.0
,,,,,,,390.0,13804.261,20.0,0.0,1.0
,,,,,,,391.0,15620.065,20.0,0.0,1.0
,,,,,,,392.0,16633.035,20.0,0.0,1.0
,,,,,,,393.0,16759.357,20.0,0.0,1.0
,,,,,,,394.0,16594.334,20.0,0.0,1.0
,,,,,,,395.0,16530.974,20.0,0.0,1.0
,,,,,,,396.0,16420.196,20.0,0.0,1.0
,,,,,,,397.0,16197.707,20.0,0.0,1.0
,,,,,,,398.0,15994.804,20.0,0.0,1.0
,,,,,,,399.0,15808.105,20.0,0.0,1.0
,,,,,,,400.0,15940.444,20.0,0.0,1.0
,,,,,,,401.0,16608.46,20.0,0.0,1.0
,,,,,,,402.0,17618.219,20.0,0.0,1.0
,,,,,,,403.0,17606.939,20.0,0.0,1.0
,,,,,,,404.0,17245.396,20.0,0.0,1.0
,,,,,,,405.0,16609.724,20.0,0.0,1.0
,,,,,,,406.0,15660.277,20.0,0.0,1.0
,,,,,,,407.0,14399.094,20.0,0.0,1.0
,,,,,,,408.0,13324.866,20.0,0.0,1.0
,,,,,,,409.0,12646.718,20.0,0.0,1.0
,,,,,,,410.0,12264.776,20.0,0.0,1.0
,,,,,,,411.0,12065.529,20.0,0.0,1.0
,,,,,,,412.0,12080.539,20.0,0.0,1.0
,,,,,,,413.0,12421.035,20.0,0.0,1.0
,,,,,,,414.0,13427.755,20.0,0.0,1.0
,,,,,,,415.0,15105.405,20.0,0.0,1.0
,,,,,,,416.0,16099.118,20.0,0.0,1.0
,,,,,,,417.0,16280.57,20.0,0.0,1.0
,,,,,,,418.0,16383.101,20.0,0.0,1.0
,,,,,,,419.0,16381.644,20.0,0.0,1.0
,,,,,,,420.0,16210.292,20.0,0.0,1.0
,,,,,,,421.0,15919.995,20.0,0.0,1.0
,,,,,,,422.0,15708.132,20.0,0.0,1.0
,,,,,,,423.0,15467.596,20.0,0.0,1.0
,,,,,,,424.0,15428.626,20.0,0.0,1.0
,,,,,,,425.0,15922.681,20.0,0.0,1.0
,,,,,,,426.0,16560.775,20.0,0.0,1.0
,,,,,,,427.0,16345.696,20.0,0.0,1.0
,,,,,,,428.0,15857.426,20.0,0.0,1.0
,,,,,,,429.0,15322.14,20.0,0.0,1.0
,,,,,,,430.0,14586.417,20.0,0.0,1.0
,,,,,,,431.0,13618.676,20.0,0.0,1.0
,,,,,,,432.0,12676.43,20.0,0.0,1.0
,,,,,,,433.0,11987.187,20.0,0.0,1.0
,,,,,,,434.0,11608.165,20.0,0.0,1.0
,,,,,,,435.0,11438.113,20.0,0.0,1.0
,,,,,,,436.0,11437.002,20.0,0.0,1.0
,,,,,,,437.0,11616.234,20.0,0.0,1.0
,,,,,,,438.0,12075.74,20.0,0.0,1.0
,,,,,,,439.0,12887.822,20.0,0.0,1.0
,,,,,,,440.0,13708.253,20.0,0.0,1.0
,,,,,,,441.0,14511.002,20.0,0.0,1.0
,,,,,,,442.0,14950.043,20.0,0.0,1.0
,,,,,,,443.0,15200.164,20.0,0.0,1.0
,,,,,,,444.0,15201.034,20.0,0.0,1.0
,,,,,,,445.0,15076.197,20.0,0.0,1.0
,,,,,,,446.0,14974.467,20.0,0.0,1.0
,,,,,,,447.0,14993.276,20.0,0.0,1.0
,,,,,,,448.0,15189.19,20.0,0.0,1.0
,,,,,,,449.0,15814.257,20.0,0.0,1.0
,,,,,,,450.0,16499.971,20.0,0.0,1.0
,,,,,,,451.0,16331.457,20.0,0.0,1.0
,,,,,,,452.0,15902.318,20.0,0.0,1.0
,,,,,,,453.0,15319.203,20.0,0.0,1.0
,,,,,,,454.0,14624.233,20.0,0.0,1.0
,,,,,,,455.0,13759.221,20.0,0.0,1.0
,,,,,,,456.0,12904.353,20.0,0.0,1.0
,,,,,,,457.0,12282.463,20.0,0.0,1.0
,,,,,,,458.0,11890.897,20.0,0.0,1.0
,,,,,,,459.0,11675.39,20.0,0.0,1.0
,,,,,,,460.0,11618.542,20.0,0.0,1.0
,,,,,,,461.0,11680.089,20.0,0.0,1.0
,,,,,,,462.0,11950.644,20.0,0.0,1.0
,,,,,,,463.0,12427.602,20.0,0.0,1.0
,,,,,,,464.0,13035.586,20.0,0.0,1.0
,,,,,,,465.0,13925.95,20.0,0.0,1.0
,,,,,,,466.0,14840.77,20.0,0.0,1.0
,,,,,,,467.0,15547.492,20.0,0.0,1.0
,,,,,,,468.0,16055.952,20.0,0.0,1.0
,,,,,,,469.0,16359.573,20.0,0.0,1.0
,,,,,,,470.0,16288.441,20.0,0.0,1.0
,,,,,,,471.0,16204.58,20.0,0.0,1.0
,,,,,,,472.0,16204.395,20.0,0.0,1.0
,,,,,,,473.0,16604.517,20.0,0.0,1.0
,,,,,,,474.0,17441.863,20.0,0.0,1.0
,,,,,,,475.0,17179.198,20.0,0.0,1.0
,,,,,,,476.0,16564.313,20.0,0.0,1.0
,,,,,,,477.0,16123.167,20.0,0.0,1.0
,,,,,,,478.0,15490.423,20.0,0.0,1.0
,,,,,,,479.0,15051.121,20.0,0.0,1.0
,,,,,,,480.0,14375.727,20.0,0.0,1.0
