CO2,MinCapReq,UCommit,epsilon,repetition,total_cost,Run_time,Time_Indexes,Build_model_time,write_outputs_time
2,0,0,0.38224715,3.0,18371414302.21285,32.150270557403566,4624.0,71.75344602359999,3.0109153282000003
2,0,0,0.57974331,3.0,20990799190.19325,5.141999197006226,1438.0,7.1519027772,0.8897337386
2,0,0,0.78987166,3.0,15770545917.770718,1.0671552658081054,213.0,0.3472123946,0.1985465736
2,0,0,1.0,3.0,6593126288.746981,0.08233561515808102,30.0,0.1523874192,0.0922042374
2,0,1,0.001,3.0,11180340406.542149,12402.683120679856,8760.0,65.038513969,6.1436289016000005
2,0,1,0.02559659,2.0,11178080362.984072,5925.506230592728,8743.0,893.2392463946667,7.2360019719999995
2,0,1,0.04404403,3.0,11183350328.72894,3611.1635802268984,8715.0,981.1188660071999,7.7231449764
2,0,1,0.08093892,2.0,11175196688.455725,20613.439369678497,8631.0,851.3352361860001,29.654368297
2,0,1,0.10553551,3.0,11177125502.427696,3610.679955482483,8537.0,953.180670984,8.649738251599999
2,0,1,0.12398295,3.0,11180266966.903969,3611.778615427017,8465.0,958.5910370902,9.556228878199999
2,0,1,0.1424304,3.0,11497750347.607426,3606.132269191742,8358.0,822.3682751742001,6.0565916972
2,0,1,0.16087784,3.0,12057680469.338074,3605.5619416236877,8206.0,798.258808799,6.292167967199999
2,0,1,0.19162358,3.0,11509723175.220716,3613.6889712333677,7946.0,826.0651371164,8.5291707988
2,0,1,0.23466761,3.0,11476302939.885746,3605.773203277588,7525.0,651.4137681643999,5.1618004808
2,0,1,0.27771164,3.0,11821110336.876226,3604.9367673873903,6924.0,546.8717562019999,4.808152026
2,0,1,0.31460653,3.0,11652765528.945425,3603.715378141403,6106.0,422.3289669334,4.444637344199999
2,0,1,0.38224715,3.0,11874384015.386883,3602.0773067951204,4624.0,243.2309984058,3.1925198966
2,0,1,0.57974331,3.0,11783750354.410086,3600.6966035842897,1438.0,22.0612450376,1.1103482662000002
2,0,1,0.78987166,3.0,21857381254254.312,2.1457921981811525,213.0,0.743501708,0.20791689779999997
