Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rel_TimeStep
,,,,,,,273.0,12108.0,1.0
,,,,,,,274.0,13010.0,1.0
,,,,,,,275.0,13616.6,5.0
,,,,,,,276.0,13544.0,1.0
,,,,,,,277.0,13675.0,1.0
,,,,,,,278.0,13843.0,1.0
,,,,,,,279.0,12106.92857142857,14.0
,,,,,,,280.0,15654.0,1.0
,,,,,,,281.0,17149.8,5.0
,,,,,,,282.0,17573.0,1.0
,,,,,,,283.0,17574.0,1.0
,,,,,,,284.0,15140.837037037038,135.0
,,,,,,,285.0,11019.0,1.0
,,,,,,,286.0,12256.0,1.0
,,,,,,,287.0,13231.0,1.0
,,,,,,,288.0,14077.2,5.0
,,,,,,,289.0,14110.0,1.0
,,,,,,,290.0,14300.0,1.0
,,,,,,,291.0,14497.0,1.0
,,,,,,,292.0,15579.058430717863,599.0
,,,,,,,293.0,22298.0,1.0
,,,,,,,294.0,21546.0,1.0
,,,,,,,295.0,16045.250626566416,1197.0
,,,,,,,296.0,17903.0,1.0
,,,,,,,297.0,17374.0,1.0
,,,,,,,298.0,14225.779720279721,286.0
,,,,,,,299.0,17792.0,1.0
,,,,,,,300.0,13862.64853101197,919.0
,,,,,,,301.0,13757.34375,96.0
,,,,,,,302.0,14211.149038461539,624.0
,,,,,,,303.0,15531.058365758754,514.0
,,,,,,,304.0,19214.0,1.0
,,,,,,,305.0,18932.0,1.0
,,,,,,,306.0,15875.333333333334,204.0
,,,,,,,307.0,11192.0,9.0
,,,,,,,308.0,12896.0,1.0
,,,,,,,309.0,14925.818181818182,110.0
,,,,,,,310.0,16556.496268656716,536.0
,,,,,,,311.0,19953.0,1.0
,,,,,,,312.0,19891.0,1.0
,,,,,,,313.0,16099.805555555555,72.0
,,,,,,,314.0,17667.0,4.0
,,,,,,,315.0,17795.0,10.0
,,,,,,,316.0,16388.941176470587,34.0
,,,,,,,317.0,17973.0,1.0
,,,,,,,318.0,17321.333333333332,3.0
,,,,,,,319.0,15400.45741324921,634.0
,,,,,,,320.0,16016.024096385541,83.0
,,,,,,,321.0,17472.0,1.0
,,,,,,,322.0,15361.807142857142,140.0
,,,,,,,323.0,18036.0,1.0
,,,,,,,324.0,16535.0,28.0
