$/MWh,Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Rel_TimeStep
,,,,,,,,273.0,8142.0,2325.0,1110.0,1.0
,,,,,,,,274.0,9163.1875,2616.96875,1249.15625,32.0
,,,,,,,,275.0,10145.0,2897.0,1383.0,1.0
,,,,,,,,276.0,10199.0,2913.0,1390.0,1.0
,,,,,,,,277.0,9903.166666666666,2828.5,1350.3333333333333,6.0
,,,,,,,,278.0,9757.0,2786.0,1330.0,1.0
,,,,,,,,279.0,8585.666666666666,2452.0666666666666,1170.4,15.0
,,,,,,,,280.0,9054.0,2586.0,1234.0,1.0
,,,,,,,,281.0,9378.0,2679.0,1278.0,1.0
,,,,,,,,282.0,9361.666666666666,2673.6666666666665,1276.3333333333333,3.0
,,,,,,,,283.0,8916.5,2546.5,1215.5,2.0
,,,,,,,,284.0,8855.0,2529.0,1207.0,1.0
,,,,,,,,285.0,9156.0,2614.0,1248.0,1.0
,,,,,,,,286.0,8276.533333333333,2363.8,1128.2,15.0
,,,,,,,,287.0,8538.0,2439.0,1164.0,1.0
,,,,,,,,288.0,8900.0,2542.0,1213.0,1.0
,,,,,,,,289.0,8889.4,2538.6,1212.0,5.0
,,,,,,,,290.0,8611.0,2459.0,1174.0,1.0
,,,,,,,,291.0,8917.0,2547.0,1216.0,1.0
,,,,,,,,292.0,8654.25,2471.625,1179.6875,16.0
,,,,,,,,293.0,9998.5,2855.5,1363.25,8.0
,,,,,,,,294.0,9217.933333333332,2632.4,1256.6666666666667,15.0
,,,,,,,,295.0,10491.0,2996.0,1430.0,1.0
,,,,,,,,296.0,10481.0,2993.0,1428.0,1.0
,,,,,,,,297.0,10455.0,2986.0,1425.0,1.0
,,,,,,,,298.0,10351.0,2956.0,1411.0,1.0
,,,,,,,,299.0,10191.0,2910.0,1389.0,1.0
,,,,,,,,300.0,10132.25,2893.75,1381.0,4.0
,,,,,,,,301.0,9028.3125,2578.3125,1230.75,16.0
,,,,,,,,302.0,9972.0,2848.0,1359.0,1.0
,,,,,,,,303.0,10004.0,2857.0,1364.0,1.0
,,,,,,,,304.0,9950.0,2842.0,1357.0,1.0
,,,,,,,,305.0,9640.2,2753.2,1314.2,5.0
,,,,,,,,306.0,8729.235294117647,2493.0588235294117,1189.8823529411766,17.0
,,,,,,,,307.0,9781.0,2793.1428571428573,1333.5714285714287,7.0
,,,,,,,,308.0,10355.0,2957.0,1412.0,1.0
,,,,,,,,309.0,8916.882352941177,2546.6470588235293,1215.3529411764705,17.0
,,,,,,,,310.0,10636.5,3037.5,1449.5,2.0
,,,,,,,,311.0,10565.0,3017.0,1440.0,1.0
,,,,,,,,312.0,9000.176470588236,2570.3529411764707,1226.9411764705883,17.0
,,,,,,,,313.0,8316.0,2374.0,1134.0,1.0
,,,,,,,,314.0,8903.0,2543.0,1214.0,1.0
,,,,,,,,315.0,9390.25,2681.5,1280.125,8.0
,,,,,,,,316.0,10096.0,2884.0,1377.0,1.0
,,,,,,,,317.0,8534.307692307691,2437.230769230769,1163.2307692307693,13.0
,,,,,,,,318.0,8333.0,2379.0,1136.0,1.0
,,,,,,,,319.0,8885.0,2538.0,1212.0,1.0
,,,,,,,,320.0,9262.857142857143,2645.4285714285716,1262.857142857143,7.0
,,,,,,,,321.0,9325.0,2663.0,1272.0,1.0
