MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Time_Index
1,0.20752922077922079,1,0.17249997725974026,0.21266688311688314,1,0.4408223211753246,1,1,1,245
1,0.2828,1,0.063978247,0.2343,1,0.864756346,1,1,1,246
1,0.20691176470588232,1,0.2872388361470588,0.20981323529411763,1,0.3639195475294118,1,1,1,247
1,0.7381,1,0.643416405,0.7612,1,0.507802486,1,1,1,248
1,0.48960000000000004,1,0.998023778,0.52135,1,0.5084943175,1,1,1,249
1,0.2971,1,0.998457193,0.3364,1,0.521668434,1,1,1,250
1,0.17692666666666665,1,0.25011546128888895,0.18536222222222223,1,0.23966772688888888,1,1,1,251
1,0.5684,1,0.684770346,0.6137,1,0.487391651,1,1,1,252
1,0.4627,1,0.873882055,0.5155,1,0.612965584,1,1,1,253
1,0.327,1,0.857548714,0.3831,1,0.573070645,1,1,1,254
1,0.11904999999999999,1,0.9170899395000001,0.16735,1,0.651705414,1,1,1,255
1,0.23973636363636366,1,0.5934137132727273,0.23713636363636367,1,0.3423750817272727,1,1,1,256
1,0.1575,1,0.862738907,0.1726,1,0.142070442,1,1,1,257
1,0.0850315789473684,1,0.4915803236052632,0.09497368421052631,1,0.7124822131578947,1,1,1,258
1,0.4041,1,0.085320905,0.4498,1,0.696343899,1,1,1,259
1,0.2236472440944882,1,0.15781462677165353,0.2387582677165354,1,0.3734837495984252,1,1,1,260
1,0.2873,1,0.639086604,0.3316,1,0.333491832,1,1,1,261
1,0.21451408450704226,1,0.2565989603661972,0.21072535211267604,1,0.4022105229014084,1,1,1,262
1,0.315,1,0.708724082,0.3599,1,0.863388896,1,1,1,263
1,0.1671,1,0.657537103,0.207,1,0.812877953,1,1,1,264
1,0.2117032863849765,1,0.24637743999999998,0.21812488262910798,1,0.42488593829577465,1,1,1,265
1,0.4368,1,0.545257628,0.4498,1,0.608399332,1,1,1,266
1,0.3104,1,0.5638237,0.3467,1,0.558783233,1,1,1,267
1,0.1689,1,0.464383125,0.2084,1,0.425200045,1,1,1,268
1,0.0764,1,0.409658939,0.094,1,0.288794458,1,1,1,269
1,0.0017000000000000001,1,0.34049515900000005,0.0033000000000000004,1,0.4530180793333334,1,1,1,270
1,0.11174166666666667,1,0.51790322375,0.12048333333333335,1,0.48059031875,1,1,1,271
1,0.7094,1,0.343956143,0.7166,1,0.201892465,1,1,1,272
1,0.613,1,0.41180394600000003,0.6271,1,0.183560789,1,1,1,273
1,0.5387666666666667,1,0.18282531966666668,0.5658,1,0.081205743,1,1,1,274
1,0.3184,1,0.134108841,0.3605,1,0.075790092,1,1,1,275
1,0.18769047619047619,1,0.2376540847142857,0.18448095238095238,1,0.29643362333333334,1,1,1,276
1,0.5315,1,0.032034814,0.3858,1,0.546130419,1,1,1,277
1,0.3419,1,0.320604116,0.2035,1,0.580540597,1,1,1,278
1,0.1672,1,0.087928981,0.1565,1,0.504089952,1,1,1,279
1,0.0733,1,0.274061024,0.0803,1,0.489174366,1,1,1,280
1,0.1990818181818182,1,0.3613493290909091,0.21265454545454546,1,0.2229237705454545,1,1,1,281
1,0.286,1,0.830243707,0.3732,1,0.439458221,1,1,1,282
1,0.1556,1,0.930709779,0.2119,1,0.425650835,1,1,1,283
1,0.072,1,0.77305305,0.1158,1,0.336099029,1,1,1,284
1,0.02885,1,0.5720195118333333,0.042966666666666674,1,0.38655551041666664,1,1,1,285
1,0.2346,1,0.216114059,0.2722,1,0.724631071,1,1,1,286
1,0.19148666666666664,1,0.33677637331111115,0.19736888888888887,1,0.2867359525111111,1,1,1,287
1,0.1207,1,0.807386637,0.145,1,0.188211322,1,1,1,288
1,0.4151,1,0.784137333,0.433190909090909,1,0.1452400128181818,1,1,1,289
1,0.1705,1,0.957313597,0.2166,1,0.292278349,1,1,1,290
1,0.1997857142857143,1,0.7568226456666667,0.22256190476190477,1,0.5464558757142858,1,1,1,291
1,0.4145,1,0.849161148,0.4878,1,0.485058069,1,1,1,292
1,0.2927,1,0.938407242,0.3664,1,0.549637675,1,1,1,293
1,0.1595,1,0.88310343,0.2178,1,0.603584647,1,1,1,294
1,0.21455652173913045,1,0.4080888508478261,0.23131521739130437,1,0.46384882667391303,1,1,1,295
1,0.3287,1,0.861350298,0.3666,1,0.750364959,1,1,1,296
1,0.1604,1,0.827531636,0.2138,1,0.714815617,1,1,1,297
1,0.0747,1,0.568184793,0.1071,1,0.676634371,1,1,1,298
1,0.23645238095238097,1,0.5978365448095238,0.24983333333333335,1,0.5234167576190475,1,1,1,299
1,0.328,1,0.652789056,0.3458,1,0.551085949,1,1,1,300
1,0.2054915151515152,1,0.3310495694181818,0.21640787878787882,1,0.2940884971757576,1,1,1,301
1,0.3338,1,0.740216494,0.3463,1,0.491132915,1,1,1,302
1,0.21500833333333333,1,0.4671377207083333,0.21747083333333336,1,0.6741825627916667,1,1,1,303
1,0.4664,1,0.58193475,0.4874,1,0.873248577,1,1,1,304
1,0.3333,1,0.673164666,0.3753,1,0.858890235,1,1,1,305
1,0.21889673913043478,1,0.2549354686086956,0.2297695652173913,1,0.46993517391304346,1,1,1,306
1,0.7403,1,0.040823564,0.7585,1,0.459581256,1,1,1,307
1,0.19910515463917527,1,0.28115129771134023,0.19614123711340206,1,0.25791788796907217,1,1,1,308
1,0.4201,1,0.503884971,0.4586,1,0.158758685,1,1,1,309
1,0.3017,1,0.433672816,0.3374,1,0.189708054,1,1,1,310
1,0.1691,1,0.605397165,0.2068,1,0.152186692,1,1,1,311
1,0.21019130434782607,1,0.35243182969565223,0.217,1,0.1947181542173913,1,1,1,312
1,0.1642,1,0.700861871,0.2135,1,0.283645898,1,1,1,313
1,0.0638,1,0.377394527,0.0909,1,0.375071973,1,1,1,314
1,0.0,1,0.48189948000000005,0.0,1,0.5164088803333334,1,1,1,315
1,0.19253125000000001,1,0.46878822068750003,0.20196874999999997,1,0.4730758193125,1,1,1,316
1,0.3179,1,0.909441948,0.2005,1,0.565150857,1,1,1,317
1,0.1481,1,0.40397352,0.201,1,0.624679148,1,1,1,318
1,0.19316218487394954,1,0.19002462928571429,0.19380420168067222,1,0.36253499462184874,1,1,1,319
1,0.4437,1,0.47019124,0.3273,1,0.674855649,1,1,1,320
1,0.2909,1,0.288553089,0.1738,1,0.797940016,1,1,1,321
1,0.07261764705882352,1,0.18768290658823528,0.07295294117647058,1,0.5435366735882352,1,1,1,322
1,0.4738,1,0.795571804,0.4827,1,0.270952821,1,1,1,323
1,0.5693666666666667,1,0.7315050956666665,0.6073666666666667,1,0.47162203999999996,1,1,1,324
1,0.3806,1,0.841773351,0.4458333333333333,1,0.7158713343333334,1,1,1,325
1,0.1633,1,0.728996396,0.2068,1,0.709909439,1,1,1,326
1,0.0589,1,0.717342496,0.0817,1,0.814069033,1,1,1,327
1,0.09040000000000001,1,0.6700891812666667,0.09602666666666666,1,0.8872088133999998,1,1,1,328
1,0.6343,1,0.640478194,0.6495,1,0.782113671,1,1,1,329
1,0.6714,1,0.735504836,0.6899500000000001,1,0.6151281,1,1,1,330
1,0.5758333333333333,1,0.4816136163333333,0.5976666666666667,1,0.7404323616666666,1,1,1,331
1,0.3509,1,0.457237422,0.4019,1,0.681679189,1,1,1,332
1,0.17696458333333331,1,0.15858573490104166,0.17859583333333337,1,0.24145907674479164,1,1,1,333
1,0.1622,1,0.49271968,0.2097,1,0.181389824,1,1,1,334
1,0.18574285714285715,1,0.36781024057142864,0.1859142857142857,1,0.25109873071428573,1,1,1,335
1,0.4604,1,0.209304363,0.4606,1,0.409936547,1,1,1,336
1,0.3121,1,0.255189776,0.3235,1,0.384340078,1,1,1,337
1,0.1584,1,0.476442665,0.1753,1,0.439774662,1,1,1,338
