Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,omega,Rel_TimeStep
,,,,,,,,147,7174.0,2048.0,978.0,5.013736263736265,1
,,,,,,,,148,7106.0,2029.0,969.0,5.013736263736265,1
,,,,,,,,149,7170.0,2048.0,978.0,5.013736263736265,1
,,,,,,,,150,7470.0,2134.0,1019.0,5.013736263736265,1
,,,,,,,,151,7989.0,2282.0,1089.0,5.013736263736265,1
,,,,,,,,152,8543.0,2439.0,1165.0,5.013736263736265,1
,,,,,,,,153,9129.0,2607.0,1245.0,5.013736263736265,1
,,,,,,,,154,9504.0,2715.0,1296.0,5.013736263736265,1
,,,,,,,,155,9671.0,2762.0,1318.0,5.013736263736265,1
,,,,,,,,156,9578.0,2735.0,1306.0,5.013736263736265,1
,,,,,,,,157,9397.0,2684.0,1281.0,5.013736263736265,1
,,,,,,,,158,9152.0,2614.0,1247.0,5.013736263736265,1
,,,,,,,,159,9002.0,2571.0,1227.0,5.013736263736265,1
,,,,,,,,160,9005.0,2572.0,1227.0,5.013736263736265,1
,,,,,,,,161,9435.0,2694.0,1287.0,5.013736263736265,1
,,,,,,,,162,10341.0,2953.0,1410.0,5.013736263736265,1
,,,,,,,,163,10416.0,2975.0,1420.0,5.013736263736265,1
,,,,,,,,164,10112.0,2888.0,1378.0,5.013736263736265,1
,,,,,,,,165,9802.0,2800.0,1337.0,5.013736263736265,1
,,,,,,,,166,9331.0,2665.0,1272.0,5.013736263736265,1
,,,,,,,,167,8730.0,2493.0,1190.0,5.013736263736265,1
,,,,,,,,168,8088.0,2310.0,1103.0,5.013736263736265,1
,,,,,,,,169,7956.0,2272.0,1085.0,11.030219780219781,1
,,,,,,,,170,7671.0,2191.0,1045.0,11.030219780219781,1
,,,,,,,,171,7538.0,2153.0,1028.0,11.030219780219781,1
,,,,,,,,172,7501.0,2142.0,1023.0,11.030219780219781,1
,,,,,,,,173,7559.0,2158.0,1030.0,11.030219780219781,1
,,,,,,,,174,7779.0,2222.0,1060.0,11.030219780219781,1
,,,,,,,,175,8146.0,2326.0,1110.0,11.030219780219781,1
,,,,,,,,176,8595.0,2454.0,1171.0,11.030219780219781,1
,,,,,,,,177,9189.0,2625.0,1252.0,11.030219780219781,1
,,,,,,,,178,9570.0,2733.0,1305.0,11.030219780219781,1
,,,,,,,,179,9729.0,2778.0,1326.0,11.030219780219781,1
,,,,,,,,180,9782.0,2794.0,1333.0,11.030219780219781,1
,,,,,,,,181,9742.0,2782.0,1328.0,11.030219780219781,1
,,,,,,,,182,9604.0,2743.0,1309.0,11.030219780219781,1
,,,,,,,,183,9506.0,2715.0,1296.0,11.030219780219781,1
,,,,,,,,184,9559.0,2730.0,1303.0,11.030219780219781,1
,,,,,,,,185,9975.0,2849.0,1360.0,11.030219780219781,1
,,,,,,,,186,10870.0,3104.0,1482.0,11.030219780219781,1
,,,,,,,,187,10727.0,3063.0,1463.0,11.030219780219781,1
,,,,,,,,188,10204.0,2915.0,1391.0,11.030219780219781,1
,,,,,,,,189,9940.0,2839.0,1355.0,11.030219780219781,1
,,,,,,,,190,9511.0,2716.0,1297.0,11.030219780219781,1
,,,,,,,,191,9184.0,2623.0,1252.0,11.030219780219781,1
,,,,,,,,192,8431.0,2408.0,1149.0,11.030219780219781,1
,,,,,,,,193,7866.0,2246.0,1072.0,11.030219780219781,1
,,,,,,,,194,7599.0,2170.0,1036.0,11.030219780219781,1
,,,,,,,,195,7502.0,2143.0,1023.0,11.030219780219781,1
,,,,,,,,196,7529.0,2150.0,1026.0,11.030219780219781,1
,,,,,,,,197,7768.0,2219.0,1059.0,11.030219780219781,1
,,,,,,,,198,8497.0,2427.0,1158.0,11.030219780219781,1
,,,,,,,,199,9827.0,2806.0,1340.0,11.030219780219781,1
,,,,,,,,200,10489.0,2995.0,1430.0,11.030219780219781,1
,,,,,,,,201,10582.0,3022.0,1443.0,11.030219780219781,1
,,,,,,,,202,10526.0,3006.0,1435.0,11.030219780219781,1
,,,,,,,,203,10498.0,2998.0,1431.0,11.030219780219781,1
,,,,,,,,204,10405.0,2971.0,1418.0,11.030219780219781,1
,,,,,,,,205,10220.0,2919.0,1393.0,11.030219780219781,1
,,,,,,,,206,10077.0,2878.0,1374.0,11.030219780219781,1
,,,,,,,,207,9898.0,2827.0,1349.0,11.030219780219781,1
,,,,,,,,208,9825.0,2805.0,1339.0,11.030219780219781,1
,,,,,,,,209,10130.0,2893.0,1381.0,11.030219780219781,1
,,,,,,,,210,11094.0,3168.0,1513.0,11.030219780219781,1
,,,,,,,,211,11372.0,3248.0,1550.0,11.030219780219781,1
,,,,,,,,212,11090.0,3167.0,1512.0,11.030219780219781,1
,,,,,,,,213,10602.0,3028.0,1445.0,11.030219780219781,1
,,,,,,,,214,9842.0,2811.0,1342.0,11.030219780219781,1
,,,,,,,,215,8928.0,2549.0,1217.0,11.030219780219781,1
,,,,,,,,216,8095.0,2312.0,1104.0,11.030219780219781,1
,,,,,,,,217,7570.0,2162.0,1032.0,11.030219780219781,1
,,,,,,,,218,7296.0,2083.0,994.0,11.030219780219781,1
,,,,,,,,219,7187.0,2053.0,979.0,11.030219780219781,1
,,,,,,,,220,7201.0,2056.0,982.0,11.030219780219781,1
,,,,,,,,221,7441.0,2125.0,1014.0,11.030219780219781,1
,,,,,,,,222,8197.0,2341.0,1117.0,11.030219780219781,1
,,,,,,,,223,9544.0,2725.0,1301.0,11.030219780219781,1
,,,,,,,,224,10218.0,2918.0,1393.0,11.030219780219781,1
,,,,,,,,225,10289.0,2939.0,1403.0,11.030219780219781,1
,,,,,,,,226,10297.0,2940.0,1403.0,11.030219780219781,1
,,,,,,,,227,10306.0,2944.0,1405.0,11.030219780219781,1
,,,,,,,,228,10273.0,2934.0,1400.0,11.030219780219781,1
,,,,,,,,229,10169.0,2904.0,1386.0,11.030219780219781,1
,,,,,,,,230,10091.0,2882.0,1376.0,11.030219780219781,1
,,,,,,,,231,9965.0,2846.0,1358.0,11.030219780219781,1
,,,,,,,,232,9973.0,2848.0,1359.0,11.030219780219781,1
,,,,,,,,233,10317.0,2946.0,1407.0,11.030219780219781,1
,,,,,,,,234,11227.0,3206.0,1530.0,11.030219780219781,1
,,,,,,,,235,11454.0,3271.0,1561.0,11.030219780219781,1
,,,,,,,,236,11223.0,3205.0,1530.0,11.030219780219781,1
,,,,,,,,237,10814.0,3088.0,1474.0,11.030219780219781,1
,,,,,,,,238,10112.0,2888.0,1378.0,11.030219780219781,1
,,,,,,,,239,9190.0,2625.0,1253.0,11.030219780219781,1
,,,,,,,,240,8397.0,2398.0,1145.0,11.030219780219781,1
,,,,,,,,241,7897.0,2255.0,1076.0,11.030219780219781,1
,,,,,,,,242,7658.0,2187.0,1044.0,11.030219780219781,1
,,,,,,,,243,7580.0,2164.0,1033.0,11.030219780219781,1
,,,,,,,,244,7627.0,2179.0,1040.0,11.030219780219781,1
,,,,,,,,245,7884.0,2252.0,1075.0,11.030219780219781,1
,,,,,,,,246,8679.0,2479.0,1183.0,11.030219780219781,1
,,,,,,,,247,10080.0,2879.0,1374.0,11.030219780219781,1
,,,,,,,,248,10760.0,3073.0,1467.0,11.030219780219781,1
,,,,,,,,249,10844.0,3096.0,1479.0,11.030219780219781,1
,,,,,,,,250,10789.0,3081.0,1471.0,11.030219780219781,1
